country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Algeria,89.8,90.1,90.4,90.7,90.9,91.2,91.4,91.7,91.9,92.2,92.4,92.6,92.8,93.1,93.3,93.5
Angola,37.8,38.1,38.4,38.6,38.8,39,39.2,39.4,39.6,39.9,40.1,40.3,40.5,40.6,40.8,41
Benin,60.1,60.5,61,61.5,62,62.4,62.9,63.4,63.8,64.3,64.8,65.2,65.7,66.1,66.6,67
Botswana,76.9,77.2,77.4,77.6,77.7,77.8,78,78.1,78.3,78.4,78.6,78.7,78.8,79,79.1,79.2
Burkina Faso,46.7,46.9,47.4,47.9,48.3,48.8,49.3,49.8,50.3,50.8,51.3,51.8,52.3,52.8,53.3,53.9
Burundi,52.4,52.7,52.9,53.1,53.3,53.6,53.8,54.1,54.3,54.5,54.8,55,55.3,55.6,55.8,55.9
Cameroon,55.3,56,56.7,57.4,58.1,58.7,59.4,60.1,60.8,61.4,62.1,62.7,63.4,64,64.7,65.3
Cape Verde,77.9,78.1,78.3,78.5,79.2,79.9,80.6,81.3,82,82.8,83.5,84.3,85,85.6,85.8,86.5
Central African Republic,52.1,52.2,52.4,52.5,52.6,52.8,52.9,53.1,53.2,53.4,53.5,53.7,53.9,54,54.1,54.1
Chad,39,39.2,39.5,39.7,39.9,40.1,40.3,40.6,40.8,41,41.3,41.5,41.7,42,42.3,42.5
Comoros,86.4,86.2,86,85.8,85.6,85.4,85.2,85,84.8,84.6,84.4,84.2,84.1,83.9,83.7,83.7
Djibouti,74.8,75,75.1,75.3,75.4,75.6,75.7,75.9,76,76.2,76.3,76.4,76.6,76.7,76.9,76.9
Egypt,98.2,98.2,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.4
Equatorial Guinea,48.9,48.9,48.9,48.9,49,49,49,49,49.1,49.1,49.2,49.3,49.3,49.4,49.5,49.6
Eritrea,16.8,16.9,17,17.1,17.3,17.4,17.5,17.7,17.8,18,18.1,18.3,18.5,18.8,19,19.3
Ethiopia,16.7,18.2,19.7,21.1,22.6,24,25.5,26.9,28.5,30,31.5,33.1,34.6,36.1,37.6,39.1
Gabon,78.7,79.6,80.3,81.1,81.8,82.5,83.1,83.7,84.2,84.8,85.3,85.8,86.2,86.7,87.1,87.5
Ghana,64.4,65.3,66.2,67.2,68.1,69,69.9,70.8,71.7,72.6,73.5,74.4,75.3,76.1,77,77.8
Guinea,54.5,55.3,56.2,57,57.9,58.7,59.6,60.4,61.3,62.2,63,63.9,64.8,65.6,66.5,67.4
Guinea-Bissau,52.8,53.9,55,56.1,57.2,58.3,59.4,60.5,61.6,62.7,63.8,64.9,66,67.1,68.1,69.2
Kenya,46.4,47.2,48.1,48.9,49.8,50.6,51.4,52.2,53,53.8,54.6,55.4,56.2,56.9,57.7,58.5
Lesotho,66.4,66.7,67.1,67.4,67.8,68.1,68.5,68.8,69.2,69.5,69.9,70.2,70.6,70.9,71.2,71.6
Liberia,61.7,62.3,62.8,63.4,64,64.5,65.1,65.6,66.2,66.7,67.2,67.8,68.3,68.8,69.4,69.9
Libya,96.8,96.8,96.8,96.8,96.8,96.8
Madagascar,36.7,37.5,38.3,39.1,39.9,40.8,41.8,42.7,43.7,44.7,45.7,46.6,47.6,48.6,49.6,50.6
Malawi,51.6,52.7,53.7,54.7,55.8,56.8,57.9,58.9,59.9,61,62,63,64.1,65.1,66.2,67.2
Mali,49.2,50.9,52.6,54.3,56,57.7,59.4,61,62.7,64.4,66.1,67.7,69.4,71,72.6,74.3
Mauritania,53.6,54.8,56,57.2,58.3,59.4,60.5,61.6,62.7,63.7,64.8,65.8,66.8,67.7,68.7,69.6
Mauritius,99.3,99.3,99.4,99.4,99.5,99.5,99.5,99.6,99.6,99.7,99.7,99.8,99.8,99.9,99.9,99.9
Morocco,64.1,65.4,66.7,68,69.3,70.6,71.9,73.2,74.5,75.8,77,78.3,79.5,80.7,81.8,83
Mozambique,22.2,23.5,25.2,26.9,28.6,30.2,31.9,33.6,35.3,37,38.7,40.4,42.1,43.8,45.5,47.3
Namibia,77.4,77.3,77.4,77.4,77.5,77.6,77.7,77.8,77.9,78,78.1,78.2,78.4,78.5,78.7,78.8
Niger,38,38.5,39,39.5,40,40.5,41,41.5,42,42.6,43.1,43.6,44.2,44.7,45.3,45.8
Nigeria,46.1,47.6,49.1,50.6,52.1,53.6,55,56.5,57.9,59.3,60.7,62.1,63.4,64.7,66.1,67.3
Rwanda,47,47.6,48.3,49,49.6,50.2,50.9,51.5,52.2,52.8,53.5,54.1,54.8,55.4,56.1,56.7
Senegal,61.6,62.5,63.4,64.3,65.3,66.2,67.1,68,68.9,69.8,70.7,71.6,72.5,73.4,74.3,75.2
Seychelles,93.3,93.5,93.7,94,94.2,94.5,94.7,94.9,95.2,95.4,95.7,95.9,96.1,96.2,96.2,96.3
Sierra Leone,38.7,39,40.4,41.8,43.2,44.5,45.9,47.3,48.6,50,51.3,52.7,54.1,55.4,56.8,58.1
Somalia,20.7,21.9,23.2,24.4,25.7,26.9,28.2,29.5,30.8,32.1,33.4,34.7,36,37.3,38.7,40
South Africa,77,77.5,78.1,78.6,79.2,79.7,80.3,80.8,81.3,81.8,82.3,82.8,83.3,83.8,84.2,84.7
South Sudan,42.7,44.7,46.6,48.5,50.4
Sudan,43.4,43.4,43.5,43.5,43.5,44.9,46.3,47.7,49.1,50.5,51.9,53.3,54.7,56.1,57.5,58.9
Tanzania,31.6,32.7,33.9,35.1,36.4,37.6,38.9,40.1,41.4,42.7,43.9,45.2,46.4,47.7,48.9,50.1
Togo,45.4,46.6,47.7,48.9,50,51.2,52.4,53.5,54.7,55.9,57,58.2,59.3,60.5,61.7,62.8
Tunisia,87.7,88.2,88.7,89.2,89.7,90.1,90.6,91,91.5,91.9,92.3,92.7,93.2,93.6,93.9,94.2
Uganda,30,30.5,31.1,31.7,32.3,32.9,33.5,34.1,34.7,35.3,35.9,36.5,37.1,37.7,38.3,38.9
Zambia,48.6,49.3,50.2,51.1,52,52.9,53.7,54.6,55.4,56.3,57.1,57.9,58.8,59.6,60.4,61.2
Zimbabwe,70.4,70.5,70.5,70.2,69.9,69.6,69.3,69,68.7,68.4,68.1,67.8,67.5,67.1,66.9,66.6
